url,id,start_datetime,start_date,start_time,end_datetime,end_date,end_time,duration,room,slug,title,track,type,language,abstract,description,translation,translation_derived,is_partner_session,speakers
https://re-publica.com/de/session/wollt-ihr-ewig-leben-vom-fluch-der-unsterblichkeit-und-segen-der-biotechnologie,0,2023-06-06 16:15:00+02:00,2023-06-06,16:15,2023-06-06 17:15:00+02:00,2023-06-06,17:15,1:00,Stage 5,wollt-ihr-ewig-leben-vom-fluch-der-unsterblichkeit-und-segen-der-biotechnologie,Wollt Ihr ewig leben? Vom Fluch der Unsterblichkeit und Segen der Biotechnologie,Technologie & Wissenschaft,Vortrag,de,Wird der alte Menschheitstraum vom ewigen Leben bald wahr,Wird der alte Menschheitstraum vom ewigen Leben bald wahr? Molekularbiolog:innen und Genetiker:innen verstehen den Bauplan des Lebens immer besser. Doch was hieße ein extrem langes Leben oder gar Unsterblichkeit für uns: ein Vielfaches an Lebenschancen und Erfahrungen? Oder Überbevölkerung und unendliche Langeweile?,False,False,False,Thomas Ramge
https://re-publica.com/de/session/vom-wunsch-nach-digitaler-souveraenitaet-bis-zur-deutschen-verwaltungstrategie-ein,0,2023-06-06 16:15:00+02:00,2023-06-06,16:15,2023-06-06 16:45:00+02:00,2023-06-06,16:45,0:30,Stage 6,vom-wunsch-nach-digitaler-souveränität-bis-zur-deutschen-verwaltungstrategie-ein-reisebericht,Vom Wunsch nach Digitaler Souveränität bis zur Deutschen Verwaltungstrategie - ein Reisebericht,Politik & Gesellschaft,Vortrag,de,"Als 2021 die Digitale Deutsche Verwaltungstrategie (DVS) für die Digitale Souveränität neu ausgerichtet wurde, ist dem Sprecher angeboten worden, für...","Als 2021 die Digitale  Deutsche Verwaltungstrategie (DVS) für die Digitale Souveränität neu ausgerichtet wurde, ist dem Sprecher angeboten worden,  für die Zivilgesellschaft an der DVS mitzuwirken. Weil das Rahmenwerk auf  private Clouds ausgerichtet, hat er das Angebot angenommen. Im Oktober 2022 wurde das neue Rahmenwerk veröffentlicht.",False,False,False,Thomas  Fricke
https://re-publica.com/de/session/colmena-experience-how-sustain-open-source-tools-non-profit-media-projects-and-having-fun,0,2023-06-06 16:15:00+02:00,2023-06-06,16:15,2023-06-06 17:15:00+02:00,2023-06-06,17:15,1:00,Media Meet Up,the-colmena-experience-how-to-sustain-open-source-tools-for-non-profit-media-projects-and-having-fun-a-role-play,The Colmena experience - how to sustain open-source tools for non-profit media projects and having fun (A role play),Medien,Meet Up,en,This session playfully explores how to fund open tech for journalists,"This session playfully explores how to fund open tech for journalists. Our role play gets you involved into a consortium of of programmers, media developers, podcasters, social entrepreneurs and reporters, all united by one goal: to sustain the open-source newsroom Colmena for mobile media productions. Will they succeed? And will you join?",False,False,False,"Vivienne Maria Gager, Hanna Hempel"
https://re-publica.com/de/session/lisbon-calling-web-summit-2023,0,2023-06-06 16:30:00+02:00,2023-06-06,16:30,2023-06-06 18:00:00+02:00,2023-06-06,18:00,1:30,Escobar,lisbon-calling-web-summit-2023,Lisbon Calling – Web Summit 2023,Politik & Gesellschaft,Meet Up,en,Where Berlin’s and Lisbon’s Digital & Start-up Scenes come together.,Where Berlin’s and Lisbon’s Digital & Start-up Scenes come together.,False,False,False,"Andreas Gebhard, Birgit Horack, Ricardo Victoria, Santiago Abraham, Almut Weigel, Malik Piara, Leonor Babo, Markus Facklam, Maria de Lurdes Sousa, Rui Boavista Marques, Ulf Leonhard, Pedro Luís Almas, Michael Schacht, Philipp Kövener"
https://re-publica.com/de/session/das-bundesportal-tor-zur-digitalen-verwaltung-neue-features-und-roadmap-2023,0,2023-06-06 16:45:00+02:00,2023-06-06,16:45,2023-06-06 17:15:00+02:00,2023-06-06,17:15,0:30,Lightning Box 1,das-bundesportal-tor-zur-digitalen-verwaltung-neue-features-und-roadmap-2023,Das Bundesportal – Tor zur digitalen Verwaltung. Neue Features und Roadmap 2023,Politik & Gesellschaft,Lightning Talk,de,"Wie können wir das Bundesportal zum zentralen Zugang zu digitalen Verwaltungsangeboten für Bürgerinnen, Bürger und Unternehmen machen?","Wie können wir das Bundesportal zum zentralen Zugang zu digitalen Verwaltungsangeboten für Bürgerinnen, Bürger und Unternehmen machen?",False,False,True,"Kevin  Müller, Ronald Hartwig"
https://re-publica.com/de/session/nie-mehr-mittelmaessige-texte-ins-internet-schreiben-auch-nicht-dein-datingprofil,0,2023-06-06 16:45:00+02:00,2023-06-06,16:45,2023-06-06 17:15:00+02:00,2023-06-06,17:15,0:30,Lightning Box 2,nie-mehr-mittelmäßige-texte-ins-internet-schreiben-auch-nicht-in-dein-datingprofil,"Nie mehr mittelmäßige Texte ins Internet schreiben, auch nicht in dein Datingprofil",Medien,Lightning Talk,de,"11 Hacks, die jedem Bericht helfen, der viel zu kompliziert ist; jeder Pressemitteilung, die nicht zum Punkt kommt; jedem Marketing-Text,...","11 Hacks, die jedem Bericht helfen, der viel zu kompliziert ist; jeder Pressemitteilung, die nicht zum Punkt kommt; jedem Marketing-Text, der ein ""tolles Produkt"" anpreist; jeder Reportage, die blass bleibt; und jedem verdammten Tinderprofil, in dem steht: ""Bitte sei nicht langweilig.""",False,False,False,Anne-Kathrin Gerstlauer
https://re-publica.com/de/session/cash-industrial-data-regulating-europes-data-economy,0,2023-06-06 16:45:00+02:00,2023-06-06,16:45,2023-06-06 17:15:00+02:00,2023-06-06,17:15,0:30,Stage 4,cash-industrial-data-regulating-europe-s-data-economy,Cash & Industrial Data - Regulating Europe's Data Economy,Technologie & Wissenschaft,Vortrag,en,Who has access to and who owns the data of my connected device,Who has access to and who owns the data of my connected device? Can I share the non-personal data I generate? Answering these questions horizontally as a regulator is key for the evolution of a functioning data economy.,False,False,False,Damian Boeselager
https://re-publica.com/de/session/bar-oder-mit-karte-warum-wir-neue-infrastrukturen-des-geldes-brauchen,0,2023-06-06 16:45:00+02:00,2023-06-06,16:45,2023-06-06 17:15:00+02:00,2023-06-06,17:15,0:30,Stage 1,bar-oder-mit-karte-warum-wir-neue-infrastrukturen-des-geldes-brauchen,Bar oder mit Karte? Warum wir neue Infrastrukturen des Geldes brauchen,Politik & Gesellschaft,Vortrag,de,Bar oder mit Karte,"Bar oder mit Karte? Oder doch per App oder Krypto-Wallet bezahlen? Wenn es um's Geld geht, fehlt in Deutschland soziale Fantasie, Innovations- oder gar Risikobereitschaft. Diesen Zustand nehme ich nicht länger hin und frage: Welchen digitalen Euro braucht unsere Zivilgesellschaft?",True,True,False,Sebastian Gießmann
https://re-publica.com/de/session/deutschland-sucht-den-digital-services-coordinator-wie-eine-starke-plattformaufsicht,0,2023-06-06 16:45:00+02:00,2023-06-06,16:45,2023-06-06 17:15:00+02:00,2023-06-06,17:15,0:30,Stage 6,deutschland-sucht-den-digital-services-coordinator-wie-eine-starke-plattformaufsicht-aussehen-sollte,"Deutschland sucht den ""Digital Services Coordinator"": Wie eine starke Plattformaufsicht aussehen sollte",Politik & Gesellschaft,Vortrag,de,"Um EU-Regeln für Plattformen umzusetzen, braucht Deutschland eine neue Aufsichtsstelle","Um EU-Regeln für Plattformen umzusetzen, braucht Deutschland eine neue Aufsichtsstelle. Wer das machen soll, wurde lange diskutiert. Wichtiger ist aber das Wie - und darum geht es im Talk zum Digital Services Act: Wie sollte die Stelle aussehen, damit sie nicht zum Papiertiger gerät? Wie kann sie Zivilgesellschaft und Wissenschaft einbinden?",False,False,False,Julian Jaursch
https://re-publica.com/de/session/zusammenarbeit-im-digitalen-zeitalter-lost-manual-wie-wir-zusammenarbeit-weniger-schlecht,0,2023-06-06 16:45:00+02:00,2023-06-06,16:45,2023-06-06 17:15:00+02:00,2023-06-06,17:15,0:30,Stage 2,zusammenarbeit-im-digitalen-zeitalter-the-lost-manual-wie-wir-zusammenarbeit-weniger-schlecht-organisieren,Zusammenarbeit im digitalen Zeitalter – the lost manual. Wie wir Zusammenarbeit weniger schlecht organisieren.,Arbeitswelten,Vortrag,de,#Zusammenarbeit – das ist,"#Zusammenarbeit – das ist: nervig, überbewertet, zeitraubend, stressig, frustrierend, unfair und wahnsinnig anstrengend. Ein Grund dafür: Wir haben #Zusammenarbeit nie richtig gelernt.
#Zusammenarbeit – das ist: unvermeidbar, unterbewertet, kreativ, beglückend und die einzige Alternative. Wenn wir es richtig machen. Wie geht das?",True,True,False,Jöran Muuß-Merholz
